timestamp,last,volume
2026-03-25 21:29:26.655118,6636.5,1447913
2026-03-25 21:29:27.661118,6636.5,1447918
2026-03-25 21:29:28.664260,6636.5,1447918
2026-03-25 21:29:29.666978,6636.25,1447919
2026-03-25 21:29:30.670265,6636.5,1447924
2026-03-25 21:29:31.674340,6636.25,1447925
2026-03-25 21:29:32.677608,6636.25,1447932
2026-03-25 21:29:33.680606,6636.5,1447934
2026-03-25 21:29:34.683777,6636.25,1447935
2026-03-25 21:29:35.687994,6636.25,1447935
2026-03-25 21:29:36.691996,6636.25,1447935
2026-03-25 21:29:37.696246,6636.25,1447943
2026-03-25 21:29:38.702248,6636.5,1447945
2026-03-25 21:29:39.706134,6636.5,1447945
2026-03-25 21:29:40.720361,6636.5,1447945
2026-03-25 21:29:41.723202,6636.5,1447959
2026-03-25 21:29:42.726469,6636.5,1447959
2026-03-25 21:29:43.729794,6636.5,1447959
2026-03-25 21:29:44.733327,6636.25,1447960
2026-03-25 21:29:45.736330,6636.5,1448007
2026-03-25 21:29:46.741088,6636.5,1448007
2026-03-25 21:29:47.744091,6636.5,1448007
2026-03-25 21:29:48.746930,6636.25,1448011
2026-03-25 21:29:49.749943,6636.5,1448012
2026-03-25 21:29:50.753327,6636.5,1448012
2026-03-25 21:29:51.758336,6636.5,1448012
2026-03-25 21:29:52.761708,6636.25,1448016
2026-03-25 21:29:53.766709,6636.25,1448017
2026-03-25 21:29:54.773848,6636.25,1448024
2026-03-25 21:29:55.777039,6636.5,1448025
2026-03-25 21:29:56.781040,6636.5,1448025
2026-03-25 21:29:57.783931,6636.25,1448037
2026-03-25 21:29:58.788111,6636.25,1448039
2026-03-25 21:29:59.791334,6636.25,1448043
2026-03-25 21:30:00.795334,6636.25,1448044
2026-03-25 21:30:01.798849,6636.5,1448054
2026-03-25 21:30:02.802343,6636.5,1448057
2026-03-25 21:30:03.805866,6636.5,1448065
2026-03-25 21:30:04.808865,6636.5,1448084
2026-03-25 21:30:05.812472,6636.5,1448085
2026-03-25 21:30:06.815992,6636.5,1448091
2026-03-25 21:30:07.820886,6636.25,1448098
2026-03-25 21:30:08.829170,6636.25,1448099
2026-03-25 21:30:09.835170,6636.25,1448099
2026-03-25 21:30:10.838746,6636.25,1448099
2026-03-25 21:30:11.842744,6636.5,1448100
2026-03-25 21:30:12.847236,6636.75,1448101
2026-03-25 21:30:13.851252,6636.5,1448102
2026-03-25 21:30:14.854856,6636.75,1448108
2026-03-25 21:30:15.858855,6637.0,1448119
2026-03-25 21:30:16.862328,6637.0,1448138
2026-03-25 21:30:17.866373,6636.75,1448150
2026-03-25 21:30:18.869717,6636.75,1448154
2026-03-25 21:30:19.873423,6636.75,1448158
2026-03-25 21:30:20.877423,6636.75,1448176
2026-03-25 21:30:21.881298,6636.75,1448176
2026-03-25 21:30:22.884753,6636.75,1448178
2026-03-25 21:30:23.888317,6636.75,1448178
2026-03-25 21:30:24.893865,6636.75,1448183
2026-03-25 21:30:25.897863,6636.5,1448187
2026-03-25 21:30:26.900861,6636.5,1448191
2026-03-25 21:30:27.904149,6636.5,1448191
2026-03-25 21:30:28.909128,6636.25,1448213
2026-03-25 21:30:29.913324,6636.25,1448214
2026-03-25 21:30:30.917143,6636.25,1448216
2026-03-25 21:30:31.920140,6636.25,1448216
2026-03-25 21:30:32.924060,6636.0,1448218
2026-03-25 21:30:33.927450,6636.0,1448220
2026-03-25 21:30:34.931617,6636.0,1448232
2026-03-25 21:30:35.934873,6636.25,1448236
2026-03-25 21:30:36.938301,6636.25,1448236
2026-03-25 21:30:37.941472,6636.25,1448236
2026-03-25 21:30:38.945473,6636.25,1448240
2026-03-25 21:30:39.949275,6636.25,1448240
2026-03-25 21:30:40.953277,6636.25,1448241
2026-03-25 21:30:41.960163,6636.25,1448242
2026-03-25 21:30:42.964216,6636.25,1448244
2026-03-25 21:30:43.969522,6636.25,1448247
2026-03-25 21:30:44.973556,6636.0,1448248
2026-03-25 21:30:45.976663,6636.0,1448248
2026-03-25 21:30:46.980663,6636.0,1448249
2026-03-25 21:30:47.984438,6636.0,1448250
2026-03-25 21:30:48.987467,6636.0,1448251
2026-03-25 21:30:49.991468,6636.0,1448252
2026-03-25 21:30:50.996104,6636.0,1448252
2026-03-25 21:30:51.999141,6636.0,1448252
2026-03-25 21:30:53.015076,6636.0,1448252
2026-03-25 21:30:54.019114,6636.0,1448253
2026-03-25 21:30:55.025318,6636.0,1448253
2026-03-25 21:30:56.028558,6636.0,1448255
2026-03-25 21:30:57.032883,6636.0,1448255
